Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Publication.Date,Total.Onboard,Fatal.Serious.Count,Fatal.Serious.Rate,Aircraft.Damage,Make_Model,Make.Model
Incident,BFO86IA031B,1986-05-30,"CALVERTON, NY",United States,,,,,Incident,Unknown,Airplane,USN,grumman,f-14a,No,2.0,Turbo Jet,Part 91: General Aviation,,Public Aircraft,,0.0,0.0,0.0,69.0,VMC,Probable Cause,09-10-2018,69.0,0.0,0.0,0,grumman-f-14a,grumman-f-14a
Accident,DCA87MA018B,1987-01-15,"KEARNS, UT",United States,,,,,Fatal(10),Destroyed,Airplane,N6485U,mooney,m-20c,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,10.0,0.0,0.0,0.0,VMC,Probable Cause,10-07-2019,10.0,10.0,1.0,1,mooney-m-20c,mooney-m-20c
Accident,FTW87RA066,1987-02-14,"DURANGO, Mexico",Mexico,,,,,Fatal(1),Unknown,Airplane,N712PC,boeing,707-323b,No,4.0,Turbo Jet,Part 121: Air Carrier,NSCH,Unknown,,1.0,0.0,3.0,131.0,UNK,Foreign,07-02-1995,135.0,1.0,0.007407407407407408,0,boeing-707-323b,boeing-707-323b
Accident,SEA87LA072,1987-04-02,"JEAN, NV",United States,,,OL7,JEAN,Non-Fatal,Substantial,Airplane,N5916H,piper,pa 16,No,,,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Probable Cause,10-04-2014,1.0,0.0,0.0,0,piper-pa 16,piper-pa 16
Accident,DCA88WA048,1988-03-27,"OXFORD, United Kingdom",United Kingdom,,,,,Fatal(1),Destroyed,Airplane,N91590,piper,pa-38,No,0.0,Unknown,"Non-U.S., Non-Commercial",UNK,Instructional,,1.0,0.0,0.0,0.0,UNK,Foreign,,1.0,1.0,1.0,1,piper-pa-38,piper-pa-38
Accident,CHI88FA091,1988-04-05,"ST. PAUL, MN",United States,,,,,Non-Fatal,Substantial,Airplane,N181LL,beech,b90,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Unknown,,0.0,0.0,0.0,5.0,IMC,Probable Cause,02-05-2011,5.0,0.0,0.0,0,beech-b90,beech-b90
Accident,MIA88WA161,1988-04-16,"San Jose, Costa Rica",Costa Rica,,,,,Non-Fatal,Unknown,Airplane,N510EA,boeing,757-225,No,2.0,Unknown,Part 121: Air Carrier,SCHD,,,0.0,1.0,0.0,192.0,UNK,Foreign,06-02-1995,193.0,1.0,0.0051813471502590676,0,boeing-757-225,boeing-757-225
Incident,DCA88IA056,1988-05-02,"NR TOKYO, Japan",Japan,,,NRT,TOKYO-NARITA,Incident,Minor,Airplane,N157UA,boeing,747-123,No,4.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines,0.0,0.0,0.0,258.0,VMC,Probable Cause,02-02-2016,258.0,0.0,0.0,0,boeing-747-123,boeing-747-123
Accident,BFO88LA070,1988-08-01,"SELBYVILLE, DE",United States,,,ON7,WARRINGTON,Non-Fatal,Substantial,Airplane,N5682G,cessna,150k,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,VMC,Probable Cause,02-06-2009,1.0,0.0,0.0,0,cessna-150k,cessna-150k
Accident,BFO88LA073,1988-08-07,"RACINE, WV",United States,,,CRW,YEAGER,Non-Fatal,Substantial,Airplane,N4873T,piper,pa-28-180,No,1.0,Reciprocating,Part 91: General Aviation,,Ferry,,0.0,0.0,1.0,0.0,VMC,Probable Cause,02-05-2011,1.0,0.0,0.0,0,piper-pa-28-180,piper-pa-28-180
Accident,LAX89LA068,1988-12-23,"Midway Islands, PO",United States,38.54,-173.24,NONE,,Non-Fatal,Unknown,Airplane,N146UA,boeing,747sp-21,No,4.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines,0.0,1.0,1.0,220.0,UNK,Probable Cause,02-02-2016,222.0,1.0,0.0045045045045045045,0,boeing-747sp-21,boeing-747sp-21
Accident,CHI89FA035,1988-12-24,"MADISON, IN",United States,,,,,Fatal(2),Destroyed,Airplane,N5121J,cessna,310r,No,2.0,Reciprocating,Part 91: General Aviation,,Positioning,,2.0,0.0,0.0,0.0,VMC,Probable Cause,04-09-2012,2.0,2.0,1.0,1,cessna-310r,cessna-310r
Accident,MKC89FA099,1989-04-27,"AINSWORTH, NE",United States,,,ANW,,Fatal(3),Destroyed,Airplane,N20BS,maule,m-5,No,1.0,Reciprocating,Part 91: General Aviation,,Other Work Use,,3.0,0.0,0.0,0.0,IMC,Probable Cause,17-08-2012,3.0,3.0,1.0,1,maule-m-5,maule-m-5
Accident,MIA89LA175,1989-06-15,"MIRAMAR, FL",United States,,,HWO,,Non-Fatal,Substantial,Airplane,N732AG,cessna,210l,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,3.0,0.0,VMC,Probable Cause,15-11-2010,3.0,0.0,0.0,0,cessna-210l,cessna-210l
Accident,MKC89LA151,1989-07-03,"MORRILTON, AR",United States,,,MPJ,PETIT JEAN,Non-Fatal,Substantial,Airplane,N1414N,piper,"j3 ""cub""",No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Probable Cause,02-05-2011,1.0,0.0,0.0,0,"piper-j3 ""cub""","piper-j3 ""cub"""
Accident,NYC89FA177B,1989-07-30,"SALISBURY TWP, PA",United States,,,1N9,ALLENTOWN QUEEN CITY,Fatal(7),Destroyed,Airplane,N2639G,cessna,182b,No,1.0,Reciprocating,Part 91: General Aviation,,Other Work Use,,7.0,0.0,0.0,0.0,VMC,Probable Cause,17-10-2016,7.0,7.0,1.0,1,cessna-182b,cessna-182b
Accident,NYC89FA177A,1989-07-30,"SALISBURY TWP, PA",United States,,,1N9,ALLENTOWN QUEEN CITY,Fatal(7),Destroyed,Airplane,N2063V,beech,a36,No,1.0,Reciprocating,Part 91: General Aviation,,Skydiving,,7.0,0.0,0.0,0.0,VMC,Probable Cause,17-10-2016,7.0,7.0,1.0,1,beech-a36,beech-a36
Accident,BFO89LA066,1989-07-30,"WILLIAMSBURG, VA",United States,,,JGG,WILLIAMSBURG,Non-Fatal,Substantial,Airplane,N4022R,piper,pa-32-300,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Probable Cause,24-04-2013,4.0,0.0,0.0,0,piper-pa-32-300,piper-pa-32-300
Accident,ATL90FA040A,1989-12-17,"CINCINNATI, OH",United States,,,LUK,LUNKEN FIELD,Fatal(1),Substantial,Airplane,N8940T,cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,1.0,0.0,1.0,1.0,VMC,Probable Cause,11-12-2012,3.0,1.0,0.3333333333333333,0,cessna-182,cessna-182
Accident,NYC90LA058,1990-01-28,"ROXBURY, ME",United States,,,,,Non-Fatal,Destroyed,Airplane,N44068,taylorcraft,bc12d,No,1.0,Unknown,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Probable Cause,01-02-2016,2.0,0.0,0.0,1,taylorcraft-bc12d,taylorcraft-bc12d
Accident,NYC90FA061,1990-01-29,"WILLISTON, VT",United States,,,BTV,BURLINGTON,Fatal(2),Destroyed,Airplane,N4688B,cessna,208b,No,1.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Business Air, Inc.",2.0,0.0,0.0,0.0,IMC,Probable Cause,01-02-2016,2.0,2.0,1.0,1,cessna-208b,cessna-208b
Accident,NYC90FA063,1990-02-01,"FAIRFIELD, CT",United States,,,,,Fatal(1),Destroyed,Airplane,N83253,piper,pa-28-181,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,VMC,Probable Cause,01-02-2016,1.0,1.0,1.0,1,piper-pa-28-181,piper-pa-28-181
Accident,ANC90LA043,1990-03-16,"SULATNA CROSS, AK",United States,,,,,Non-Fatal,Substantial,Airplane,N4659C,cessna,170b,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Probable Cause,01-07-2009,2.0,0.0,0.0,0,cessna-170b,cessna-170b
Accident,ATL90FA095B,1990-04-09,"GADSDEN, AL",United States,,,,,Fatal(2),Destroyed,Airplane,N99501,cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,2.0,0.0,0.0,7.0,VMC,Probable Cause,17-11-2009,9.0,2.0,0.2222222222222222,1,cessna-172,cessna-172
Accident,ATL90FA095A,1990-04-09,"GADSDEN, AL",United States,,,,,Fatal(2),Substantial,Airplane,N217AS,embraer,emb-120,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Atlantic Southeast,2.0,0.0,0.0,7.0,VMC,Probable Cause,17-11-2009,9.0,2.0,0.2222222222222222,0,embraer-emb-120,embraer-emb-120
Accident,MIA90FA105,1990-04-16,"FORT LAUDERDALE, FL",United States,,,FLL,FT LAUDERDALE,Non-Fatal,Substantial,Airplane,N64CZ,embraer,emb-110,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Comair,0.0,0.0,0.0,8.0,VMC,Probable Cause,17-11-2009,8.0,0.0,0.0,0,embraer-emb-110,embraer-emb-110
Accident,MKC90LA087,1990-04-17,"SALINA, KS",United States,,,SLN,SALINA,Non-Fatal,Substantial,Airplane,N714EB,cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Probable Cause,02-05-2011,2.0,0.0,0.0,0,cessna-150,cessna-150
Accident,DCA90WA430,1990-04-30,"MOOSONEE, Canada",Canada,,,,MOOSONEE APT.,Fatal(1),Destroyed,Airplane,,beech,c99 airliner,No,2.0,Unknown,Part 129: Foreign,SCHD,Unknown,,1.0,3.0,0.0,0.0,UNK,Foreign,02-06-1998,4.0,4.0,1.0,1,beech-c99 airliner,beech-c99 airliner
Accident,ANC90LA112,1990-07-05,"COLDFOOT, AK",United States,,,NONE,COLDFOOT STRIP,Fatal(1),Destroyed,Airplane,N6374J,piper,pa-28-180,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,1.0,1.0,0.0,0.0,VMC,Probable Cause,19-03-2009,2.0,2.0,1.0,1,piper-pa-28-180,piper-pa-28-180
Accident,MKC90LA146,1990-07-12,"WICHITA, KS",United States,,,,,Non-Fatal,Substantial,Airplane,N7295F,piper,pa-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,VMC,Probable Cause,02-05-2011,2.0,0.0,0.0,0,piper-pa-28-140,piper-pa-28-140
Accident,DCA90WA049,1990-07-27,"BHARU, Malaysia",Malaysia,,,,,Non-Fatal,Unknown,Airplane,N108WA,mcdonnell douglas,dc-10-30,No,0.0,Unknown,Part 121: Air Carrier,NSCH,Unknown,,0.0,1.0,3.0,3.0,UNK,Foreign,07-02-1995,7.0,1.0,0.14285714285714285,0,mcdonnell douglas-dc-10-30,mcdonnell douglas-dc-10-30
Accident,NYC90FA220,1990-09-14,"PLAIN CITY, OH",United States,,,,,Fatal(2),Destroyed,Airplane,N95644,cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,0.0,0.0,0.0,IMC,Probable Cause,01-02-2016,2.0,2.0,1.0,1,cessna-152,cessna-152
Accident,NYC90FA227,1990-09-23,"ELIOT, ME",United States,,,3B4,LITTLEBROOK,Fatal(4),Destroyed,Airplane,N8664P,piper,pa-24-260,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,4.0,0.0,0.0,0.0,VMC,Probable Cause,01-02-2016,4.0,4.0,1.0,1,piper-pa-24-260,piper-pa-24-260
Accident,ANC91LA002,1990-10-06,"KOYUKTOLIK, AK",United States,,,NONE,KOYUKTOLIK BAY,Non-Fatal,Substantial,Airplane,N2525Z,cessna,185b,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Raven Air,0.0,0.0,0.0,1.0,VMC,Probable Cause,23-09-2019,1.0,0.0,0.0,0,cessna-185b,cessna-185b
Accident,DEN91LA018,1990-11-07,"ABILENE, TX",United States,,,NONE,,Non-Fatal,Substantial,Airplane,N6078Y,piper,pa-23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,IMC,Probable Cause,02-05-2011,3.0,0.0,0.0,0,piper-pa-23-250,piper-pa-23-250
Accident,FTW91FA017,1990-11-23,"ENGLAND, AR",United States,,,,,Fatal(1),Destroyed,Airplane,N811J,beech,b55,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,VMC,Probable Cause,22-03-2011,1.0,1.0,1.0,1,beech-b55,beech-b55
Accident,SEA91LA034,1990-12-15,"SNOHOMISH, WA",United States,,,NONE,,Fatal(1),Substantial,Airplane,N833Q,beech,d50c,No,2.0,Reciprocating,Part 91: General Aviation,,Skydiving,,1.0,0.0,1.0,4.0,VMC,Probable Cause,17-10-2016,6.0,1.0,0.16666666666666666,0,beech-d50c,beech-d50c
Accident,SEA91FA038,1990-12-31,"ESTACADA, OR",United States,,,OR66,BEAVER OAKS,Fatal(2),Substantial,Airplane,N7288E,cessna,182b,No,1.0,Reciprocating,Part 91: General Aviation,,Skydiving,,2.0,1.0,1.0,0.0,VMC,Probable Cause,26-10-2016,4.0,3.0,0.75,0,cessna-182b,cessna-182b
Accident,SEA91TA03,1991-01-25,"PINEDALE, WY",United States,,,,,Non-Fatal,Substantial,Airplane,N8372Z,piper,pa-34,No,0.0,Unknown,Public Aircraft,UNK,Public Aircraft,,0.0,0.0,0.0,1.0,UNK,Probable Cause,31-01-2018,1.0,0.0,0.0,0,piper-pa-34,piper-pa-34
Accident,CHI91FA088B,1991-02-03,"OSCEOLA, WI",United States,,,OEO,L.O.SIMENSTAD MUNI,Fatal(7),Destroyed,Airplane,N6384A,cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,,Skydiving,,7.0,0.0,0.0,0.0,VMC,Probable Cause,17-10-2016,7.0,7.0,1.0,1,cessna-182,cessna-182
Accident,CHI91FA088A,1991-02-03,"OSCEOLA, WI",United States,,,OEO,L.O.SIMENSTAD MUNI,Fatal(7),Destroyed,Airplane,N4676R,piper,pa-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,7.0,0.0,0.0,0.0,VMC,Probable Cause,17-10-2016,7.0,7.0,1.0,1,piper-pa-28-140,piper-pa-28-140
Accident,CHI91DCJ01,1991-02-24,"WESTERN, NE",United States,,,,,Fatal(1),Destroyed,Airplane,N738LL,cessna,172n,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,IMC,Probable Cause,17-08-2012,1.0,1.0,1.0,1,cessna-172n,cessna-172n
Accident,ATL91FA067,1991-03-18,"HAMILTON, NC",United States,,,,,Fatal(2),Destroyed,Airplane,N2871H,piper,pa-28-201t,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,2.0,0.0,0.0,0.0,IMC,Probable Cause,02-10-2009,2.0,2.0,1.0,1,piper-pa-28-201t,piper-pa-28-201t
Incident,NYC91IA137,1991-06-06,"BOSTON, MA",United States,,,BOS,LOGAN INTERNATIONAL,Incident,Minor,Airplane,N750UA,boeing,727-214,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Usair,0.0,0.0,0.0,156.0,VMC,Probable Cause,05-09-2018,156.0,0.0,0.0,0,boeing-727-214,boeing-727-214
Accident,LAX91LA306,1991-07-11,"WAILUA, HI",United States,,,,,Fatal(1),Substantial,Airplane,N9022T,cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,,Skydiving,,1.0,0.0,0.0,4.0,VMC,Probable Cause,17-10-2016,5.0,1.0,0.2,0,cessna-182,cessna-182
Accident,ANC91LA117,1991-08-07,"SEWARD, AK",United States,,,,,Non-Fatal,Substantial,Airplane,N8684V,bellanca,7gcbc,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,1.0,VMC,Probable Cause,19-03-2009,2.0,0.0,0.0,0,bellanca-7gcbc,bellanca-7gcbc
Accident,ANC91LA121,1991-08-09,"ANCHORAGE, AK",United States,,,LHD,LAKE HOOD SEAPLANE,Non-Fatal,Substantial,Airplane,N2370H,piper,pa-18,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Probable Cause,19-03-2009,1.0,0.0,0.0,0,piper-pa-18,piper-pa-18
Accident,ANC91LA155,1991-09-19,"EAGLE, AK",United States,,,EAA,EAGLE,Non-Fatal,Substantial,Airplane,N4894A,piper,pa-18-150,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,,Tatonduk Outfitters Ltd,0.0,0.0,0.0,1.0,VMC,Probable Cause,09-12-2011,1.0,0.0,0.0,0,piper-pa-18-150,piper-pa-18-150
Accident,FTW92FA014,1991-10-27,"MARBLE FALLS, TX",United States,,,,,Fatal(2),Destroyed,Airplane,N7246H,beech,a36,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,0.0,0.0,0.0,VMC,Probable Cause,25-01-2011,2.0,2.0,1.0,1,beech-a36,beech-a36
Accident,FTW92LA028,1991-11-29,"LAS CRUCES, NM",United States,,,LRU,LAS CRUCES,Non-Fatal,Substantial,Airplane,N1906N,cessna,120,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Probable Cause,19-12-2013,1.0,0.0,0.0,0,cessna-120,cessna-120
Incident,CHI92RA060,1991-12-12,"NAKINA, Canada",Canada,,,,,Incident,Minor,Airplane,N475EV,boeing,b-747-121,No,0.0,Unknown,Part 121: Air Carrier,NSCH,Unknown,,0.0,0.0,0.0,0.0,VMC,Foreign,05-08-1996,0.0,0.0,,0,boeing-b-747-121,boeing-b-747-121
Accident,ANC92FA083,1991-12-13,"NINILCHIK, AK",United States,,,,,Fatal(1),Destroyed,Airplane,N307SC,piper,"pa-31t3, t1040",No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,,"Southcentral Air, Inc.",1.0,0.0,0.0,0.0,IMC,Probable Cause,09-12-2011,1.0,1.0,1.0,1,"piper-pa-31t3, t1040","piper-pa-31t3, t1040"
Accident,LAX92FA065,1991-12-20,"FLAGSTAFF, AZ",United States,,,FLG,FLAGSTAFF,Fatal(2),Destroyed,Airplane,N766BA,beech,58p,No,2.0,Reciprocating,Part 91: General Aviation,UNK,Business,,2.0,0.0,0.0,0.0,IMC,Probable Cause,21-04-2016,2.0,2.0,1.0,1,beech-58p,beech-58p
Accident,LAX92MA183,1992-04-22,"PERRIS, CA",United States,,,L65,PERRIS VALLEY,Fatal(16),Destroyed,Airplane,N141PV,de havilland,dhc-6-200,No,2.0,Turbo Prop,Part 91: General Aviation,,Skydiving,,16.0,6.0,0.0,0.0,VMC,Probable Cause,17-10-2016,22.0,22.0,1.0,1,de havilland-dhc-6-200,de havilland-dhc-6-200
Accident,DCA92MA048,1992-09-07,"HINCKLEY, IL",United States,,,,,Fatal(12),Destroyed,Airplane,N3657G,beech,c-45h,No,2.0,Reciprocating,Part 91: General Aviation,,Skydiving,,12.0,0.0,0.0,0.0,VMC,Probable Cause,17-10-2016,12.0,12.0,1.0,1,beech-c-45h,beech-c-45h
Accident,NYC93LA041,1992-12-13,"LONDONDERRY, NH",United States,,,,,Non-Fatal,Substantial,Airplane,N210PQ,cessna,t210,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Probable Cause,02-05-2011,1.0,0.0,0.0,0,cessna-t210,cessna-t210
